SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
114,ARIYALUR,Jayankondam,CSI HSS MAHIMAIPURAM,VIRUDACHALAM ROADMAHIMAIPURAM,621802,
115,ARIYALUR,Jayankondam,FATHIMA (G) HSS JAYANKONDAM,T PALUR ROAD JAYANKONDAM,621802,
,,,,,,
SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
116,ARIYALUR,Jayankondam,FATIMA MATRICULATION HIGHER SECONDARY SCHOOL JAYANKONDAM,MATHANATHUR ROADJAYANKONDAM,621802,
117,ARIYALUR,Jayankondam,GHS (G) JAYANKONDAM,SENDURAI ROAD JAYANKONDAM,621802,
118,ARIYALUR,Jayankondam,GHS ADW VETHIYARVETTU,Govt ADW Hr Sec School VethiyarvettuGovt ADW Hr Sec School Vethiyarvettu,621803,
119,ARIYALUR,Jayankondam,GHS CHINNAVALAYAM,MAIN ROAD CHINNAVALAYAM,621802,
120,ARIYALUR,Jayankondam,GHS DEVAMANGALAM-S,ANAIKARAI MAIN ROADDEVAMANGALAM,612902,
121,ARIYALUR,Jayankondam,GHS ERAVANGUDI,NORTH STREETERAVANGUDI,621803,
122,ARIYALUR,Jayankondam,GHS KOLLAPURAM,sundaravinayagar koil streetkollapuram,612901,
123,ARIYALUR,Jayankondam,GHS MUTHUSERVAMADAM,VELLALAR STREET MUTHUSERVAMADAM,612903,
124,ARIYALUR,Jayankondam,GHS SENGUNTHAPURAM,MAIN ROADSENGUNTHAPURAM,621802,
125,ARIYALUR,Jayankondam,GHSS (G) MEENSURUTTI,NIL,612903,
126,ARIYALUR,Jayankondam,GHSS (G) UDAYARPALAYAM,vellallar stst,621804,
127,ARIYALUR,Jayankondam,GHSS GANGAIKONDACHOLAPURAM,KAVARAI STREET GANGAIKONDACHOLAPURAM,612901,
128,ARIYALUR,Jayankondam,GHSS KALLATHUR THANDALAI,VIRUTHACHALAM MAIN ROAD KALLATHUR (PO),621803,
129,ARIYALUR,Jayankondam,GHSS MEENSURUTTI,MAIN ROAD MEENSURUTTY,612903,
130,ARIYALUR,Jayankondam,GHSS MELANIKUZHI,AMMANKOIL STREETMELANIKUZHI,612903,
131,ARIYALUR,Jayankondam,GHSS T.KEELAVELI,MIDDLE STKEELAVELI,621804,
132,ARIYALUR,Jayankondam,GHSS T.POTTAKKOLLAI,TRICHY MAIN ROADT.POTTAKOLLAI,621804,
,,,,,,
SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
133,ARIYALUR,Jayankondam,GHSS UDAYARPALAYAM,chetiyar streetudayarpalayam,621804,
134,ARIYALUR,Jayankondam,GHSS ULKOTTAI,MAIN ROAD ULKOTTAIMAIN ROAD ULKOTTAI,612905,
135,ARIYALUR,Jayankondam,GHSS VANATHIRAYANPATTANAM,MAIN ROAD / UDAYARPALAYAM TK ARIYALUR DT,621804,
136,ARIYALUR,Jayankondam,GMHSS JAYANKONDAM,TRICHY MAIN ROADJAYANKONDAM,621802,
137,ARIYALUR,Jayankondam,GMS-AYUTHAKALAM NORTH,MAIN ROAD AYUTHAKALAM NORTH-612901,612901,
